"","Header","2017","2018","2019","2020","2021","2022"
"74","CheckInCode","*","*",NA,NA,NA,NA
"75","ClickyKeys","*",NA,NA,NA,NA,NA
"76","CodeRev",NA,NA,"*",NA,NA,NA
"77","CodeRevHrs",NA,NA,"*",NA,NA,NA
"78","CodingActivities",NA,NA,NA,NA,NA,"*"
"79","CollaborateRemote","*",NA,NA,NA,NA,NA
"80","CommunicationTools",NA,"*",NA,NA,NA,NA
"81","CompanySize","*","*",NA,NA,NA,NA
"82","CompanyType","*",NA,NA,NA,NA,NA
"83","CompetePeers","*",NA,NA,NA,NA,NA
"84","CompFreq",NA,NA,"*","*","*","*"
"85","CompTotal",NA,NA,"*","*","*","*"
"86","Containers",NA,NA,"*",NA,NA,NA
"87","ConvertedComp",NA,NA,"*","*",NA,NA
"88","ConvertedCompYearly",NA,NA,NA,NA,"*","*"
"89","ConvertedSalary",NA,"*",NA,NA,NA,NA
"90","Country","*","*","*","*","*","*"
"91","CousinEducation","*",NA,NA,NA,NA,NA
"92","Currency","*","*",NA,NA,"*","*"
"93","CurrencyDesc",NA,NA,"*","*",NA,NA
"94","CurrencySymbol",NA,"*","*","*",NA,NA
"95","DatabaseDesireNextYear",NA,"*","*","*",NA,NA
"96","DatabaseHaveWorkedWith",NA,NA,NA,NA,"*","*"
"97","DatabaseWantToWorkWith",NA,NA,NA,NA,"*","*"
"98","DatabaseWorkedWith",NA,"*","*","*",NA,NA
"99","Dependents",NA,"*","*",NA,NA,NA
"100","DeveloperType","*",NA,NA,NA,NA,NA
"101","DevEnviron",NA,NA,"*",NA,NA,NA
"102","DevType",NA,"*","*","*","*","*"
"103","DifficultCommunication","*",NA,NA,NA,NA,NA
"104","DiversityImportant","*",NA,NA,NA,NA,NA
"105","EdLevel",NA,NA,"*","*","*","*"
"106","EducationImportant","*",NA,NA,NA,NA,NA
"107","EducationParents",NA,"*",NA,NA,NA,NA
"108","EducationTypes","*","*",NA,NA,NA,NA
"109","EduOther",NA,NA,"*",NA,NA,NA
"110","Employment",NA,"*","*","*","*","*"
"111","EmploymentStatus","*",NA,NA,NA,NA,NA
"112","EnjoyDebugging","*",NA,NA,NA,NA,NA
"113","EntTeams",NA,NA,"*",NA,NA,NA
"114","EquipmentSatisfiedCPU","*",NA,NA,NA,NA,NA
"115","EquipmentSatisfiedMonitors","*",NA,NA,NA,NA,NA
"116","EquipmentSatisfiedRAM","*",NA,NA,NA,NA,NA
"117","EquipmentSatisfiedRW","*",NA,NA,NA,NA,NA
"118","EquipmentSatisfiedStorage","*",NA,NA,NA,NA,NA
"119","ErgonomicDevices",NA,"*",NA,NA,NA,NA
"120","EthicalImplications",NA,"*",NA,NA,NA,NA
"121","EthicsChoice",NA,"*",NA,NA,NA,NA
"122","EthicsReport",NA,"*",NA,NA,NA,NA
"123","EthicsResponsible",NA,"*",NA,NA,NA,NA
"124","Ethnicity",NA,NA,"*","*","*","*"
"125","ExCoder10Years","*",NA,NA,NA,NA,NA
"126","ExCoderActive","*",NA,NA,NA,NA,NA
"127","ExCoderBalance","*",NA,NA,NA,NA,NA
"128","ExCoderBelonged","*",NA,NA,NA,NA,NA
"129","ExCoderNotForMe","*",NA,NA,NA,NA,NA
"130","ExCoderReturn","*",NA,NA,NA,NA,NA
"131","ExCoderSkills","*",NA,NA,NA,NA,NA
"132","ExCoderWillNotCode","*",NA,NA,NA,NA,NA
"133","Exercise",NA,"*",NA,NA,NA,NA
"134","ExpectedSalary","*",NA,NA,NA,NA,NA
"135","Extraversion",NA,NA,"*",NA,NA,NA
"136","FizzBuzz",NA,NA,"*",NA,NA,NA
"137","FormalEducation","*","*",NA,NA,NA,NA
"138","FrameworkDesireNextYear",NA,"*",NA,NA,NA,NA
"139","FrameworkWorkedWith",NA,"*",NA,NA,NA,NA
"140","Frequency_1",NA,NA,NA,NA,NA,"*"
"141","Frequency_2",NA,NA,NA,NA,NA,"*"
"142","Frequency_3",NA,NA,NA,NA,NA,"*"
"143","FriendsDevelopers","*",NA,NA,NA,NA,NA
"144","Gender","*","*","*","*","*","*"
"145","HackathonReasons",NA,"*",NA,NA,NA,NA
"146","HaveWorkedDatabase","*",NA,NA,NA,NA,NA
"147","HaveWorkedFramework","*",NA,NA,NA,NA,NA
"148","HaveWorkedLanguage","*",NA,NA,NA,NA,NA
"149","HaveWorkedPlatform","*",NA,NA,NA,NA,NA
"150","HighestEducationParents","*",NA,NA,NA,NA,NA
"151","Hobby",NA,"*",NA,NA,NA,NA
"152","Hobbyist",NA,NA,"*","*",NA,NA
"153","HomeRemote","*",NA,NA,NA,NA,NA
"154","HopeFiveYears",NA,"*",NA,NA,NA,NA
"155","HoursComputer",NA,"*",NA,NA,NA,NA
"156","HoursOutside",NA,"*",NA,NA,NA,NA
"157","HoursPerWeek","*",NA,NA,NA,NA,NA
"158","HypotheticalTools1",NA,"*",NA,NA,NA,NA
"159","HypotheticalTools2",NA,"*",NA,NA,NA,NA
"160","HypotheticalTools3",NA,"*",NA,NA,NA,NA
"161","HypotheticalTools4",NA,"*",NA,NA,NA,NA
"162","HypotheticalTools5",NA,"*",NA,NA,NA,NA
"163","ICorPM",NA,NA,NA,NA,NA,"*"
"164","IDE","*","*",NA,NA,NA,NA
"165","ImportantBenefits","*",NA,NA,NA,NA,NA
"166","ImportantHiringAlgorithms","*",NA,NA,NA,NA,NA
"167","ImportantHiringCommunication","*",NA,NA,NA,NA,NA
"168","ImportantHiringCompanies","*",NA,NA,NA,NA,NA
"169","ImportantHiringEducation","*",NA,NA,NA,NA,NA
"170","ImportantHiringGettingThingsDone","*",NA,NA,NA,NA,NA
"171","ImportantHiringOpenSource","*",NA,NA,NA,NA,NA
"172","ImportantHiringPMExp","*",NA,NA,NA,NA,NA
"173","ImportantHiringRep","*",NA,NA,NA,NA,NA
"174","ImportantHiringTechExp","*",NA,NA,NA,NA,NA
"175","ImportantHiringTitles","*",NA,NA,NA,NA,NA
"176","ImpSyn",NA,NA,"*",NA,NA,NA
"177","InfluenceCloud","*",NA,NA,NA,NA,NA
"178","InfluenceCommunication","*",NA,NA,NA,NA,NA
"179","InfluenceConsultants","*",NA,NA,NA,NA,NA
"180","InfluenceDatabase","*",NA,NA,NA,NA,NA
"181","InfluenceDeptTech","*",NA,NA,NA,NA,NA
"182","InfluenceHardware","*",NA,NA,NA,NA,NA
"183","InfluenceInternet","*",NA,NA,NA,NA,NA
"184","InfluenceRecruitment","*",NA,NA,NA,NA,NA
"185","InfluenceServers","*",NA,NA,NA,NA,NA
"186","InfluenceTechStack","*",NA,NA,NA,NA,NA
"187","InfluenceVizTools","*",NA,NA,NA,NA,NA
"188","InfluenceWorkstation","*",NA,NA,NA,NA,NA
"189","InterestedAnswers","*",NA,NA,NA,NA,NA
"190","InTheZone","*",NA,NA,NA,NA,NA
"191","InvestTimeTools","*",NA,NA,NA,NA,NA
"192","ITperson",NA,NA,"*",NA,NA,NA
"193","JobContactPriorities1",NA,"*",NA,NA,NA,NA
"194","JobContactPriorities2",NA,"*",NA,NA,NA,NA
"195","JobContactPriorities3",NA,"*",NA,NA,NA,NA
"196","JobContactPriorities4",NA,"*",NA,NA,NA,NA
"197","JobContactPriorities5",NA,"*",NA,NA,NA,NA
"198","JobEmailPriorities1",NA,"*",NA,NA,NA,NA
"199","JobEmailPriorities2",NA,"*",NA,NA,NA,NA
"200","JobEmailPriorities3",NA,"*",NA,NA,NA,NA
"201","JobEmailPriorities4",NA,"*",NA,NA,NA,NA
"202","JobEmailPriorities5",NA,"*",NA,NA,NA,NA
"203","JobEmailPriorities6",NA,"*",NA,NA,NA,NA
"204","JobEmailPriorities7",NA,"*",NA,NA,NA,NA
"205","JobFactors",NA,NA,"*","*",NA,NA
"206","JobProfile","*",NA,NA,NA,NA,NA
"207","JobSat",NA,NA,"*","*",NA,NA
"208","JobSatisfaction","*","*",NA,NA,NA,NA
"209","JobSearchStatus",NA,"*",NA,NA,NA,NA
"210","JobSecurity","*",NA,NA,NA,NA,NA
"211","JobSeek",NA,NA,"*","*",NA,NA
"212","JobSeekingStatus","*",NA,NA,NA,NA,NA
"213","KinshipDevelopers","*",NA,NA,NA,NA,NA
"214","Knowledge_1",NA,NA,NA,NA,NA,"*"
"215","Knowledge_2",NA,NA,NA,NA,NA,"*"
"216","Knowledge_3",NA,NA,NA,NA,NA,"*"
"217","Knowledge_4",NA,NA,NA,NA,NA,"*"
"218","Knowledge_5",NA,NA,NA,NA,NA,"*"
"219","Knowledge_6",NA,NA,NA,NA,NA,"*"
"220","Knowledge_7",NA,NA,NA,NA,NA,"*"
"221","LanguageDesireNextYear",NA,"*","*","*",NA,NA
"222","LanguageHaveWorkedWith",NA,NA,NA,NA,"*","*"
"223","LanguageWantToWorkWith",NA,NA,NA,NA,"*","*"
"224","LanguageWorkedWith",NA,"*","*","*",NA,NA
"225","LastHireDate",NA,NA,"*",NA,NA,NA
"226","LastInt",NA,NA,"*",NA,NA,NA
"227","LastNewJob","*","*",NA,NA,NA,NA
"228","LearnCode",NA,NA,NA,NA,"*","*"
"229","LearnCodeCoursesCert",NA,NA,NA,NA,NA,"*"
"230","LearnCodeOnline",NA,NA,NA,NA,NA,"*"
"231","LearnedHiring","*",NA,NA,NA,NA,NA
"232","LearningNewTech","*",NA,NA,NA,NA,NA
"233","MainBranch",NA,NA,"*","*","*","*"
"234","MajorUndergrad","*",NA,NA,NA,NA,NA
"235","MentalHealth",NA,NA,NA,NA,"*","*"
"236","Methodology","*","*",NA,NA,NA,NA
"237","MetricAssess","*",NA,NA,NA,NA,NA
"238","MgrIdiot",NA,NA,"*",NA,NA,NA
"239","MgrMoney",NA,NA,"*",NA,NA,NA
"240","MgrWant",NA,NA,"*",NA,NA,NA
"241","MilitaryUS",NA,"*",NA,NA,NA,NA
"242","MiscTechDesireNextYear",NA,NA,"*","*",NA,NA
"243","MiscTechHaveWorkedWith",NA,NA,NA,NA,"*","*"
"244","MiscTechWantToWorkWith",NA,NA,NA,NA,"*","*"
"245","MiscTechWorkedWith",NA,NA,"*","*",NA,NA
"246","MobileDeveloperType","*",NA,NA,NA,NA,NA
"247","NEWCollabToolsDesireNextYear",NA,NA,NA,"*",NA,NA
"248","NEWCollabToolsHaveWorkedWith",NA,NA,NA,NA,"*","*"
"249","NEWCollabToolsWantToWorkWith",NA,NA,NA,NA,"*","*"
"250","NEWCollabToolsWorkedWith",NA,NA,NA,"*",NA,NA
"251","NEWDevOps",NA,NA,NA,"*",NA,NA
"252","NEWDevOpsImpt",NA,NA,NA,"*",NA,NA
"253","NEWEdImpt",NA,NA,NA,"*",NA,NA
"254","NEWJobHunt",NA,NA,NA,"*",NA,NA
"255","NEWJobHuntResearch",NA,NA,NA,"*",NA,NA
"256","NEWLearn",NA,NA,NA,"*",NA,NA
"257","NEWOffTopic",NA,NA,NA,"*",NA,NA
"258","NEWOnboardGood",NA,NA,NA,"*",NA,NA
"259","NEWOtherComms",NA,NA,NA,"*","*",NA
"260","NEWOvertime",NA,NA,NA,"*",NA,NA
"261","NEWPurchaseResearch",NA,NA,NA,"*",NA,NA
"262","NEWPurpleLink",NA,NA,NA,"*",NA,NA
"263","NEWSOSites",NA,NA,NA,"*","*","*"
"264","NEWStuck",NA,NA,NA,"*","*",NA
"265","NonDeveloperType","*",NA,NA,NA,NA,NA
"266","NumberMonitors",NA,"*",NA,NA,NA,NA
"267","OfficeStackAsyncHaveWorkedWith",NA,NA,NA,NA,NA,"*"
"268","OfficeStackAsyncWantToWorkWith",NA,NA,NA,NA,NA,"*"
"269","OfficeStackSyncHaveWorkedWith",NA,NA,NA,NA,NA,"*"
"270","OfficeStackSyncWantToWorkWith",NA,NA,NA,NA,NA,"*"
"271","OffOn",NA,NA,"*",NA,NA,NA
"272","Onboarding",NA,NA,NA,NA,NA,"*"
"273","OpenSource",NA,"*","*",NA,NA,NA
"274","OpenSourcer",NA,NA,"*",NA,NA,NA
"275","OperatingSystem",NA,"*",NA,NA,NA,NA
"276","OpSys",NA,NA,"*","*","*",NA
"277","OpSysPersonal.use",NA,NA,NA,NA,NA,"*"
"278","OpSysProfessional.use",NA,NA,NA,NA,NA,"*"
"279","OrgSize",NA,NA,"*","*","*","*"
"280","OtherPeoplesCode","*",NA,NA,NA,NA,NA
"281","Overpaid","*",NA,NA,NA,NA,NA
"282","PlatformDesireNextYear",NA,"*","*","*",NA,NA
"283","PlatformHaveWorkedWith",NA,NA,NA,NA,"*","*"
"284","PlatformWantToWorkWith",NA,NA,NA,NA,"*","*"
"285","PlatformWorkedWith",NA,"*","*","*",NA,NA
"286","ProblemSolving","*",NA,NA,NA,NA,NA
"287","Professional","*",NA,NA,NA,NA,NA
"288","ProfessionalTech",NA,NA,NA,NA,NA,"*"
"289","ProgramHobby","*",NA,NA,NA,NA,NA
"290","ProjectManagement","*",NA,NA,NA,NA,NA
"291","PronounceGIF","*",NA,NA,NA,NA,NA
"292","PurchaseHow",NA,NA,"*",NA,NA,NA
"293","PurchaseInfluence",NA,NA,NA,NA,NA,"*"
"294","PurchaseWhat",NA,NA,"*","*",NA,NA
"295","QuestionsConfusing","*",NA,NA,NA,NA,NA
"296","QuestionsInteresting","*",NA,NA,NA,NA,NA
"297","Race","*",NA,NA,NA,NA,NA
"298","RaceEthnicity",NA,"*",NA,NA,NA,NA
"299","RemoteWork",NA,NA,NA,NA,NA,"*"
"300","Respondent","*","*","*","*",NA,NA
"301","ResponseId",NA,NA,NA,NA,"*","*"
"302","ResumePrompted","*",NA,NA,NA,NA,NA
"303","ResumeUpdate",NA,NA,"*",NA,NA,NA
"304","RightWrongWay","*",NA,NA,NA,NA,NA
"305","Salary","*","*",NA,NA,NA,NA
"306","SalaryType",NA,"*",NA,NA,NA,NA
"307","ScreenName",NA,NA,"*",NA,NA,NA
"308","SelfTaughtTypes","*","*",NA,NA,NA,NA
"309","SeriousWork","*",NA,NA,NA,NA,NA
"310","Sexuality",NA,NA,"*","*","*","*"
"311","SexualOrientation",NA,"*",NA,NA,NA,NA
"312","ShipIt","*",NA,NA,NA,NA,NA
"313","SkipMeals",NA,"*",NA,NA,NA,NA
"314","SOAccount",NA,NA,"*","*","*","*"
"315","SocialMedia",NA,NA,"*",NA,NA,NA
"316","SOComm",NA,NA,"*","*","*","*"
"317","SOFindAnswer",NA,NA,"*",NA,NA,NA
"318","SOHowMuchTime",NA,NA,"*",NA,NA,NA
"319","SOJobs",NA,NA,"*",NA,NA,NA
"320","SONewContent",NA,NA,"*",NA,NA,NA
"321","SOPartFreq",NA,NA,"*","*","*","*"
"322","SOTimeSaved",NA,NA,"*",NA,NA,NA
"323","SOVisit1st",NA,NA,"*",NA,NA,NA
"324","SOVisitFreq",NA,NA,"*","*","*","*"
"325","SOVisitTo",NA,NA,"*",NA,NA,NA
"326","StackOverflowAdsDistracting","*",NA,NA,NA,NA,NA
"327","StackOverflowAdsRelevant","*",NA,NA,NA,NA,NA
"328","StackOverflowAnswer","*",NA,NA,NA,NA,NA
"329","StackOverflowBetter","*",NA,NA,NA,NA,NA
"330","StackOverflowCommunity","*",NA,NA,NA,NA,NA
"331","StackOverflowCompanyPage","*",NA,NA,NA,NA,NA
"332","StackOverflowConsiderMember",NA,"*",NA,NA,NA,NA
"333","StackOverflowCopiedCode","*",NA,NA,NA,NA,NA
"334","StackOverflowDescribes","*",NA,NA,NA,NA,NA
"335","StackOverflowDevices","*",NA,NA,NA,NA,NA
"336","StackOverflowDevStory",NA,"*",NA,NA,NA,NA
"337","StackOverflowFoundAnswer","*",NA,NA,NA,NA,NA
"338","StackOverflowHasAccount",NA,"*",NA,NA,NA,NA
"339","StackOverflowHelpful","*",NA,NA,NA,NA,NA
"340","StackOverflowJobListing","*",NA,NA,NA,NA,NA
"341","StackOverflowJobs",NA,"*",NA,NA,NA,NA
"342","StackOverflowJobSearch","*",NA,NA,NA,NA,NA
"343","StackOverflowJobsRecommend",NA,"*",NA,NA,NA,NA
"344","StackOverflowMakeMoney","*",NA,NA,NA,NA,NA
"345","StackOverflowMetaChat","*",NA,NA,NA,NA,NA
"346","StackOverflowModeration","*",NA,NA,NA,NA,NA
"347","StackOverflowNewQuestion","*",NA,NA,NA,NA,NA
"348","StackOverflowParticipate",NA,"*",NA,NA,NA,NA
"349","StackOverflowRecommend",NA,"*",NA,NA,NA,NA
"350","StackOverflowSatisfaction","*",NA,NA,NA,NA,NA
"351","StackOverflowVisit",NA,"*",NA,NA,NA,NA
"352","StackOverflowWhatDo","*",NA,NA,NA,NA,NA
"353","Student",NA,"*","*",NA,NA,NA
"354","SurveyEase",NA,NA,"*","*","*","*"
"355","SurveyEasy",NA,"*",NA,NA,NA,NA
"356","SurveyLength",NA,NA,"*","*","*","*"
"357","SurveyLong","*",NA,NA,NA,NA,NA
"358","SurveyTooLong",NA,"*",NA,NA,NA,NA
"359","TabsSpaces","*",NA,NA,NA,NA,NA
"360","TBranch",NA,NA,NA,NA,NA,"*"
"361","TimeAfterBootcamp","*","*",NA,NA,NA,NA
"362","TimeAnswering",NA,NA,NA,NA,NA,"*"
"363","TimeFullyProductive",NA,"*",NA,NA,NA,NA
"364","TimeSearching",NA,NA,NA,NA,NA,"*"
"365","ToolsTechHaveWorkedWith",NA,NA,NA,NA,"*","*"
"366","ToolsTechWantToWorkWith",NA,NA,NA,NA,"*","*"
"367","Trans",NA,NA,"*","*","*","*"
"368","TrueFalse_1",NA,NA,NA,NA,NA,"*"
"369","TrueFalse_2",NA,NA,NA,NA,NA,"*"
"370","TrueFalse_3",NA,NA,NA,NA,NA,"*"
"371","UK_Country",NA,NA,NA,NA,"*",NA
"372","UndergradMajor",NA,"*","*","*",NA,NA
"373","UnderstandComputers","*",NA,NA,NA,NA,NA
"374","UnitTests",NA,NA,"*",NA,NA,NA
"375","University","*",NA,NA,NA,NA,NA
"376","UpdateCV",NA,"*",NA,NA,NA,NA
"377","US_State",NA,NA,NA,NA,"*",NA
"378","VCHostingPersonal.use",NA,NA,NA,NA,NA,"*"
"379","VCHostingProfessional.use",NA,NA,NA,NA,NA,"*"
"380","VCInteraction",NA,NA,NA,NA,NA,"*"
"381","VersionControl","*","*",NA,NA,NA,NA
"382","VersionControlSystem",NA,NA,NA,NA,NA,"*"
"383","WakeTime",NA,"*",NA,NA,NA,NA
"384","WantWorkDatabase","*",NA,NA,NA,NA,NA
"385","WantWorkFramework","*",NA,NA,NA,NA,NA
"386","WantWorkLanguage","*",NA,NA,NA,NA,NA
"387","WantWorkPlatform","*",NA,NA,NA,NA,NA
"388","WebDeveloperType","*",NA,NA,NA,NA,NA
"389","WebframeDesireNextYear",NA,NA,NA,"*",NA,NA
"390","WebFrameDesireNextYear",NA,NA,"*",NA,NA,NA
"391","WebframeHaveWorkedWith",NA,NA,NA,NA,"*","*"
"392","WebframeWantToWorkWith",NA,NA,NA,NA,"*","*"
"393","WebframeWorkedWith",NA,NA,NA,"*",NA,NA
"394","WebFrameWorkedWith",NA,NA,"*",NA,NA,NA
"395","WelcomeChange",NA,NA,"*","*",NA,NA
"396","WorkChallenge",NA,NA,"*",NA,NA,NA
"397","WorkExp",NA,NA,NA,NA,NA,"*"
"398","WorkLoc",NA,NA,"*",NA,NA,NA
"399","WorkPayCare","*",NA,NA,NA,NA,NA
"400","WorkPlan",NA,NA,"*",NA,NA,NA
"401","WorkRemote",NA,NA,"*",NA,NA,NA
"402","WorkStart","*",NA,NA,NA,NA,NA
"403","WorkWeekHrs",NA,NA,"*","*",NA,NA
"404","YearsCode",NA,NA,"*","*","*","*"
"405","YearsCodedJob","*",NA,NA,NA,NA,NA
"406","YearsCodedJobPast","*",NA,NA,NA,NA,NA
"407","YearsCodePro",NA,NA,"*","*","*","*"
"408","YearsCoding",NA,"*",NA,NA,NA,NA
"409","YearsCodingProf",NA,"*",NA,NA,NA,NA
"410","YearsProgram","*",NA,NA,NA,NA,NA
